entidad,nombre_entidad,distrito_federal,distrito_local,municipio,seccion
23,QUINTANA ROO,1,1,6,297
23,QUINTANA ROO,1,1,11,177
23,QUINTANA ROO,1,1,6,974
23,QUINTANA ROO,1,1,11,973
23,QUINTANA ROO,1,1,11,964
23,QUINTANA ROO,1,1,6,296
23,QUINTANA ROO,1,1,6,295
23,QUINTANA ROO,1,1,6,294
23,QUINTANA ROO,1,1,6,293
23,QUINTANA ROO,1,1,6,292
23,QUINTANA ROO,1,1,6,285
23,QUINTANA ROO,1,1,11,971
23,QUINTANA ROO,1,1,6,291
23,QUINTANA ROO,1,1,11,179
23,QUINTANA ROO,1,1,6,284
23,QUINTANA ROO,1,1,11,178
23,QUINTANA ROO,1,1,6,286
23,QUINTANA ROO,1,1,6,287
23,QUINTANA ROO,1,1,6,288
23,QUINTANA ROO,1,1,6,289
23,QUINTANA ROO,1,1,6,290
23,QUINTANA ROO,1,9,8,996
23,QUINTANA ROO,1,9,8,989
23,QUINTANA ROO,1,9,8,986
23,QUINTANA ROO,1,9,8,987
23,QUINTANA ROO,1,9,8,988
23,QUINTANA ROO,1,9,8,984
23,QUINTANA ROO,1,9,8,990
23,QUINTANA ROO,1,9,8,991
23,QUINTANA ROO,1,9,8,992
23,QUINTANA ROO,1,9,8,994
23,QUINTANA ROO,1,9,8,982
23,QUINTANA ROO,1,9,8,983
23,QUINTANA ROO,1,9,8,993
23,QUINTANA ROO,1,9,8,877
23,QUINTANA ROO,1,9,8,985
23,QUINTANA ROO,1,9,8,981
23,QUINTANA ROO,1,9,8,876
23,QUINTANA ROO,1,9,8,878
23,QUINTANA ROO,1,9,8,879
23,QUINTANA ROO,1,9,8,881
23,QUINTANA ROO,1,9,8,883
23,QUINTANA ROO,1,9,8,975
23,QUINTANA ROO,1,9,8,977
23,QUINTANA ROO,1,9,8,978
23,QUINTANA ROO,1,9,8,888
23,QUINTANA ROO,1,9,8,980
23,QUINTANA ROO,1,9,8,874
23,QUINTANA ROO,1,9,8,979
23,QUINTANA ROO,1,10,8,896
23,QUINTANA ROO,1,10,8,736
23,QUINTANA ROO,1,10,8,737
23,QUINTANA ROO,1,10,8,738
23,QUINTANA ROO,1,10,8,739
23,QUINTANA ROO,1,10,8,740
23,QUINTANA ROO,1,10,8,894
23,QUINTANA ROO,1,10,8,897
23,QUINTANA ROO,1,10,8,735
23,QUINTANA ROO,1,10,8,726
23,QUINTANA ROO,1,10,8,898
23,QUINTANA ROO,1,10,8,741
23,QUINTANA ROO,1,10,8,734
23,QUINTANA ROO,1,10,8,733
23,QUINTANA ROO,1,10,8,732
23,QUINTANA ROO,1,10,8,731
23,QUINTANA ROO,1,10,8,730
23,QUINTANA ROO,1,10,8,729
23,QUINTANA ROO,1,10,8,727
23,QUINTANA ROO,1,10,8,725
23,QUINTANA ROO,1,10,8,724
23,QUINTANA ROO,1,10,8,723
23,QUINTANA ROO,1,10,8,722
23,QUINTANA ROO,1,10,8,899
23,QUINTANA ROO,1,10,8,728
23,QUINTANA ROO,1,10,8,912
23,QUINTANA ROO,1,10,8,893
23,QUINTANA ROO,1,10,8,1076
23,QUINTANA ROO,1,10,8,721
23,QUINTANA ROO,1,10,8,922
23,QUINTANA ROO,1,10,8,921
23,QUINTANA ROO,1,10,8,920
23,QUINTANA ROO,1,10,8,919
23,QUINTANA ROO,1,10,8,918
23,QUINTANA ROO,1,10,8,917
23,QUINTANA ROO,1,10,8,916
23,QUINTANA ROO,1,10,8,915
23,QUINTANA ROO,1,10,8,1075
23,QUINTANA ROO,1,10,8,913
23,QUINTANA ROO,1,10,8,900
23,QUINTANA ROO,1,10,8,911
23,QUINTANA ROO,1,10,8,910
23,QUINTANA ROO,1,10,8,909
23,QUINTANA ROO,1,10,8,908
23,QUINTANA ROO,1,10,8,907
23,QUINTANA ROO,1,10,8,906
23,QUINTANA ROO,1,10,8,905
23,QUINTANA ROO,1,10,8,904
23,QUINTANA ROO,1,10,8,903
23,QUINTANA ROO,1,10,8,902
23,QUINTANA ROO,1,10,8,901
23,QUINTANA ROO,1,10,8,914
23,QUINTANA ROO,1,10,8,677
23,QUINTANA ROO,1,10,8,692
23,QUINTANA ROO,1,10,8,691
23,QUINTANA ROO,1,10,8,690
23,QUINTANA ROO,1,10,8,689
23,QUINTANA ROO,1,10,8,688
23,QUINTANA ROO,1,10,8,687
23,QUINTANA ROO,1,10,8,686
23,QUINTANA ROO,1,10,8,685
23,QUINTANA ROO,1,10,8,684
23,QUINTANA ROO,1,10,8,682
23,QUINTANA ROO,1,10,8,680
23,QUINTANA ROO,1,10,8,693
23,QUINTANA ROO,1,10,8,678
23,QUINTANA ROO,1,10,8,683
23,QUINTANA ROO,1,10,8,676
23,QUINTANA ROO,1,10,8,675
23,QUINTANA ROO,1,10,8,674
23,QUINTANA ROO,1,10,8,673
23,QUINTANA ROO,1,10,8,672
23,QUINTANA ROO,1,10,8,671
23,QUINTANA ROO,1,10,8,670
23,QUINTANA ROO,1,10,8,669
23,QUINTANA ROO,1,10,8,668
23,QUINTANA ROO,1,10,8,720
23,QUINTANA ROO,1,10,8,895
23,QUINTANA ROO,1,10,8,679
23,QUINTANA ROO,1,10,8,715
23,QUINTANA ROO,1,10,8,719
23,QUINTANA ROO,1,10,8,718
23,QUINTANA ROO,1,10,8,681
23,QUINTANA ROO,1,10,8,716
23,QUINTANA ROO,1,10,8,695
23,QUINTANA ROO,1,10,8,714
23,QUINTANA ROO,1,10,8,713
23,QUINTANA ROO,1,10,8,712
23,QUINTANA ROO,1,10,8,711
23,QUINTANA ROO,1,10,8,710
23,QUINTANA ROO,1,10,8,709
23,QUINTANA ROO,1,10,8,708
23,QUINTANA ROO,1,10,8,707
23,QUINTANA ROO,1,10,8,706
23,QUINTANA ROO,1,10,8,698
23,QUINTANA ROO,1,10,8,717
23,QUINTANA ROO,1,10,8,705
23,QUINTANA ROO,1,10,8,697
23,QUINTANA ROO,1,10,8,206
23,QUINTANA ROO,1,10,8,699
23,QUINTANA ROO,1,10,8,700
23,QUINTANA ROO,1,10,8,702
23,QUINTANA ROO,1,10,8,703
23,QUINTANA ROO,1,10,8,696
23,QUINTANA ROO,1,10,8,701
23,QUINTANA ROO,1,10,8,704
23,QUINTANA ROO,1,11,8,748
23,QUINTANA ROO,1,11,8,753
23,QUINTANA ROO,1,11,8,752
